,Date,Open,High,Low,Close
857,07/06/2016,2084.43,2100.72,2074.02,2099.73
858,07/07/2016,2100.42,2109.08,2089.39,2097.90
859,07/08/2016,2106.97,2131.71,2106.97,2129.90
860,07/11/2016,2131.72,2143.16,2131.72,2137.16
861,07/12/2016,2139.50,2155.40,2139.50,2152.14
862,07/13/2016,2153.81,2156.45,2146.21,2152.43
863,07/14/2016,2157.88,2168.99,2157.88,2163.75
864,07/15/2016,2165.13,2169.05,2155.79,2161.74
865,07/18/2016,2162.04,2168.35,2159.63,2166.89
866,07/19/2016,2163.79,2164.63,2159.01,2163.78
867,07/20/2016,2166.10,2175.63,2164.89,2173.02
868,07/21/2016,2172.91,2174.56,2159.75,2165.17
869,07/22/2016,2166.47,2175.11,2163.24,2175.03
870,07/25/2016,2173.71,2173.71,2161.95,2168.48
871,07/26/2016,2168.97,2173.54,2160.18,2169.18
872,07/27/2016,2169.81,2174.98,2159.07,2166.58
873,07/28/2016,2166.05,2172.85,2159.74,2170.06
874,07/29/2016,2168.83,2177.09,2163.49,2173.60
875,08/01/2016,2173.15,2178.29,2166.21,2170.84
876,08/02/2016,2169.94,2170.20,2147.58,2157.03
877,08/03/2016,2156.81,2163.79,2152.56,2163.79
878,08/04/2016,2163.51,2168.19,2159.07,2164.25
879,08/05/2016,2168.79,2182.87,2168.79,2182.87
880,08/08/2016,2183.76,2185.44,2177.85,2180.89
881,08/09/2016,2182.24,2187.66,2178.61,2181.74
882,08/10/2016,2182.81,2183.41,2172.00,2175.49
883,08/11/2016,2177.97,2188.45,2177.97,2185.79
884,08/12/2016,2183.74,2186.28,2179.42,2184.05
885,08/15/2016,2186.08,2193.81,2186.08,2190.15
886,08/16/2016,2186.24,2186.24,2178.14,2178.15
887,08/17/2016,2177.84,2183.08,2168.50,2182.22
888,08/18/2016,2181.90,2187.03,2180.46,2187.02
889,08/19/2016,2184.24,2185.00,2175.13,2183.87
890,08/22/2016,2181.58,2185.15,2175.96,2182.64
891,08/23/2016,2187.81,2193.42,2186.80,2186.90
892,08/24/2016,2185.09,2186.66,2171.25,2175.44
893,08/25/2016,2173.29,2179.00,2169.74,2172.47
894,08/26/2016,2175.10,2187.94,2160.39,2169.04
895,08/29/2016,2170.19,2183.48,2170.19,2180.38
896,08/30/2016,2179.45,2182.27,2170.41,2176.12
897,08/31/2016,2173.56,2173.79,2161.35,2170.95
898,09/01/2016,2171.33,2173.56,2157.09,2170.86
899,09/02/2016,2177.49,2184.87,2173.59,2179.98
900,09/06/2016,2181.61,2186.57,2175.10,2186.48
901,09/07/2016,2185.17,2187.87,2179.07,2186.16
902,09/08/2016,2182.76,2184.94,2177.49,2181.30
903,09/09/2016,2169.08,2169.08,2127.81,2127.81
904,09/12/2016,2120.86,2163.30,2119.12,2159.04
905,09/13/2016,2150.47,2150.47,2120.27,2127.02
906,09/14/2016,2127.86,2141.33,2119.90,2125.77
907,09/15/2016,2125.36,2151.31,2122.36,2147.26
908,09/16/2016,2146.48,2146.48,2131.20,2139.16
909,09/19/2016,2143.99,2153.61,2135.91,2139.12
910,09/20/2016,2145.94,2150.80,2139.17,2139.76
911,09/21/2016,2144.58,2165.11,2139.57,2163.12
912,09/22/2016,2170.94,2179.99,2170.94,2177.18
913,09/23/2016,2173.29,2173.75,2163.97,2164.69
914,09/26/2016,2158.54,2158.54,2145.04,2146.10
915,09/27/2016,2146.04,2161.13,2141.55,2159.93
916,09/28/2016,2161.85,2172.40,2151.79,2171.37
917,09/29/2016,2168.90,2172.67,2145.20,2151.13
918,09/30/2016,2156.51,2175.30,2156.51,2168.27
919,10/03/2016,2164.33,2164.41,2154.77,2161.20
920,10/04/2016,2163.37,2165.46,2144.01,2150.49
921,10/05/2016,2155.15,2163.95,2155.15,2159.73
922,10/06/2016,2158.22,2162.93,2150.28,2160.77
923,10/07/2016,2164.19,2165.86,2144.85,2153.74
924,10/10/2016,2160.39,2169.60,2160.39,2163.66
925,10/11/2016,2161.35,2161.56,2128.84,2136.73
926,10/12/2016,2137.67,2145.36,2132.77,2139.18
