iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 07, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"813,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,046,953,401.76","0.29","1,046,953,401.76","2,289,724.00","457.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","1,044,325,122.70","0.29","1,044,325,122.70","346,733.00","3,011.90","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","1,037,697,372.80","0.29","1,037,697,372.80","3,203,264.00","323.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","1,013,580,391.13","0.28","1,013,580,391.13","11,166,469.00","90.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","996,849,598.35","0.28","996,849,598.35","7,027,491.00","141.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","980,327,667.00","0.27","980,327,667.00","2,177,780.00","450.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","978,268,517.64","0.27","978,268,517.64","2,649,411.00","369.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","975,914,718.81","0.27","975,914,718.81","12,106,621.00","80.61","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","951,438,463.23","0.27","951,438,463.23","3,413,967.00","278.69","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","948,554,168.00","0.27","948,554,168.00","2,507,744.00","378.25","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","937,451,536.32","0.26","937,451,536.32","12,933,934.00","72.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","936,074,892.51","0.26","936,074,892.51","12,396,701.00","75.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","935,622,992.29","0.26","935,622,992.29","8,976,523.00","104.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","934,125,127.96","0.26","934,125,127.96","4,799,492.00","194.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","905,311,504.44","0.25","905,311,504.44","13,218,156.00","68.49","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","903,160,775.00","0.25","903,160,775.00","3,284,221.00","275.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","902,056,625.82","0.25","902,056,625.82","5,687,262.00","158.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","889,678,307.00","0.25","889,678,307.00","4,003,052.00","222.25","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","884,478,940.05","0.25","884,478,940.05","1,363,695.00","648.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","876,692,181.00","0.25","876,692,181.00","12,479,604.00","70.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","873,752,977.02","0.24","873,752,977.02","3,990,833.00","218.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","864,791,656.56","0.24","864,791,656.56","5,652,972.00","152.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","861,695,388.00","0.24","861,695,388.00","1,037,200.00","830.79","United States","NASDAQ","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","848,486,217.96","0.24","848,486,217.96","2,875,932.00","295.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","839,960,354.05","0.24","839,960,354.05","4,529,309.00","185.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","836,771,102.08","0.23","836,771,102.08","3,876,812.00","215.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","830,598,427.60","0.23","830,598,427.60","1,295,260.00","641.26","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","819,018,303.09","0.23","819,018,303.09","4,871,919.00","168.11","United States","NASDAQ","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","797,964,531.21","0.22","797,964,531.21","14,448,027.00","55.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","785,105,545.64","0.22","785,105,545.64","18,710,809.00","41.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
