iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"29-Apr-2015"
Total Net Assets,"$69,377,710,110"
Shares Outstanding,"330,600,000"
Stock,"99.66"
Bond,"0.00"
Cash,"0.26"
Other,"0.08"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"ITW","US4523081093","2457552","ILLINOIS TOOL INC","0.1764","Equity","Industrials","$123,653,842","1,308,091","94.53","New York Stock Exchange Inc.","123,653,842.23"
"RTN","US7551115071","2758051","RAYTHEON","0.1754","Equity","Industrials","$122,931,058","1,151,579","106.75","New York Stock Exchange Inc.","122,931,058.25"
"CI","US1255091092","2196479","CIGNA CORP","0.1750","Equity","Health Care","$122,679,826","968,423","126.68","New York Stock Exchange Inc.","122,679,825.64"
"STT","US8574771031","2842040","STATE STREET CORP","0.1712","Equity","Financials","$119,959,311","1,544,872","77.65","New York Stock Exchange Inc.","119,959,310.80"
"NSC","US6558441084","2641894","NORFOLK SOUTHERN CORP","0.1696","Equity","Industrials","$118,854,487","1,151,914","103.18","New York Stock Exchange Inc.","118,854,486.52"
"NOC","US6668071029","2648806","NORTHROP GRUMMAN CORP","0.1688","Equity","Industrials","$118,313,588","743,456","159.14","New York Stock Exchange Inc.","118,313,587.84"
"MU","US5951121038","2588184","MICRON TECHNOLOGY INC","0.1663","Equity","Information Technology","$116,543,542","4,036,839","28.87","NASDAQ","116,543,541.93"
"ADM","US0394831020","2047317","ARCHER DANIELS MIDLAND","0.1660","Equity","Consumer Staples","$116,342,989","2,376,772","48.95","New York Stock Exchange Inc.","116,342,989.40"
"ECL","US2788651006","2304227","ECOLAB INC","0.1648","Equity","Materials","$115,462,000","1,009,195","114.41","New York Stock Exchange Inc.","115,461,999.95"
"MMC","US5717481023","2567741","MARSH & MCLENNAN INC","0.1639","Equity","Financials","$114,854,425","2,018,886","56.89","New York Stock Exchange Inc.","114,854,424.54"
"DE","US2441991054","2261203","DEERE & CO","0.1631","Equity","Industrials","$114,327,312","1,272,141","89.87","New York Stock Exchange Inc.","114,327,311.67"
"MYL","NL0011031208","BVFMFG8","MYLAN NV","0.1620","Equity","Health Care","$113,557,668","1,524,264","74.50","NASDAQ","113,557,668.00"
"PPG","US6935061076","2698470","PPG INDUSTRIES INC","0.1616","Equity","Materials","$113,262,266","509,800","222.17","New York Stock Exchange Inc.","113,262,266.00"
"AVGO","SG9999006241","B3WS2X9","AVAGO TECHNOLOGIES LTD","0.1606","Equity","Information Technology","$112,520,483","961,467","117.03","NASDAQ","112,520,483.01"
"VRTX","US92532F1003","2931034","VERTEX PHARMACEUTICALS INC","0.1602","Equity","Health Care","$112,267,646","907,140","123.76","NASDAQ","112,267,646.40"
"BHI","US0572241075","2072085","BAKER HUGHES INC","0.1599","Equity","Energy","$112,059,406","1,629,955","68.75","New York Stock Exchange Inc.","112,059,406.25"
"VLO","US91913Y1001","2041364","VALERO ENERGY CORP","0.1594","Equity","Energy","$111,748,010","1,929,351","57.92","New York Stock Exchange Inc.","111,748,009.92"
"BDX","US0758871091","2087807","BECTON DICKINSON","0.1587","Equity","Health Care","$111,230,684","782,323","142.18","New York Stock Exchange Inc.","111,230,684.14"
"CAH","US14149Y1082","2175672","CARDINAL HEALTH INC","0.1569","Equity","Health Care","$109,973,389","1,237,046","88.90","New York Stock Exchange Inc.","109,973,389.40"
"PCP","US7401891053","2699514","PRECISION CASTPARTS CORP","0.1569","Equity","Industrials","$109,937,014","531,225","206.95","New York Stock Exchange Inc.","109,937,013.75"
"APD","US0091581068","2011602","AIR PRODUCTS AND CHEMICALS INC","0.1566","Equity","Materials","$109,744,907","722,624","151.87","New York Stock Exchange Inc.","109,744,906.88"
